Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-MAY-2020,7764.95,7765.8,7578.75,7596.9,2167488400.0,46673.18
05-MAY-2020,7704.5,7727.75,7513.25,7523.05,1839701448.0,45876.31
06-MAY-2020,7544.15,7620.8,7451.2,7575.5,2096198864.0,48092.24
07-MAY-2020,7551.6,7592.45,7509.8,7520.85,1629284382.0,73458.4
08-MAY-2020,7649.35,7654.15,7542.8,7552.0,1635029843.0,45812.23
11-MAY-2020,7628.5,7692.35,7542.75,7556.4,2505750345.0,45508.07
12-MAY-2020,7508.55,7552.6,7403.3,7520.9,2249675676.0,51889.99
13-MAY-2020,7819.15,7819.2,7632.85,7667.0,2904380722.0,55786.64
14-MAY-2020,7558.15,7614.8,7495.9,7514.55,2144455767.0,46932.59
15-MAY-2020,7547.6,7547.6,7447.7,7504.05,1829354717.0,42257.8
18-MAY-2020,7522.45,7522.5,7234.45,7245.25,2235846866.0,50680.86
19-MAY-2020,7350.1,7398.05,7266.15,7284.5,2674472069.0,47850.75
20-MAY-2020,7292.9,7446.85,7281.8,7426.85,2053411161.0,44843.09
21-MAY-2020,7444.45,7525.3,7429.25,7470.6,1993003977.0,45160.92
22-MAY-2020,7446.0,7507.5,7368.7,7416.0,2012105957.0,47095.54
26-MAY-2020,7463.6,7502.7,7395.95,7424.5,1846214834.0,45560.26
27-MAY-2020,7462.95,7607.4,7394.05,7595.55,2021180725.0,50645.08
28-MAY-2020,7635.0,7746.4,7616.8,7732.25,2575437304.0,55047.14
29-MAY-2020,7687.6,7834.05,7658.8,7822.4,5404237465.0,81438.91
01-JUN-2020,7935.7,8087.0,7923.7,8020.1,2991531089.0,61483.4
02-JUN-2020,8068.15,8147.4,8030.65,8137.45,3195724501.0,58798.82
03-JUN-2020,8241.6,8295.35,8182.15,8203.0,3483800210.0,63372.14
04-JUN-2020,8209.0,8266.95,8117.2,8185.9,3295275673.0,59003.15
05-JUN-2020,8243.6,8319.4,8206.1,8299.35,4518404839.0,61740.41
